slide_number,section,figure_id,title,token,figure_shape_name,narrative_shape_name,expected_image,left,top,width,height
6,A,A.1,Producto Interno Bruto y contribución de telecomunicaciones y radiodifusión,{{FIGURA:A.1}},ANUARIO_FIGURE_A_1,ANUARIO_TEXT_A_1,build/figures/A/figura_a_1.png,3.5917,1.0319,5.9333,3.9265
7,A,A.2,Empleo en los sectores de telecomunicaciones y radiodifusión,{{FIGURA:A.2}},ANUARIO_FIGURE_A_2,ANUARIO_TEXT_A_2,build/figures/A/figura_a_2.png,3.5917,1.0319,5.9333,3.9265
8,A,A.3,Índices de precios (INPC e IPCOM),{{FIGURA:A.3}},ANUARIO_FIGURE_A_3,ANUARIO_TEXT_A_3,build/figures/A/figura_a_3.png,3.5917,1.0319,5.9333,3.9265
9,A,A.4,Inversión privada en Telecomunicaciones por tipo de inversión,{{FIGURA:A.4}},ANUARIO_FIGURE_A_4,ANUARIO_TEXT_A_4,build/figures/A/figura_a_4.png,3.5917,1.0319,5.9333,3.9265
10,A,A.5,Inversión Extranjera Directa (IED) en telecomunicaciones,{{FIGURA:A.5}},ANUARIO_FIGURE_A_5,ANUARIO_TEXT_A_5,build/figures/A/figura_a_5.png,3.5917,1.0319,5.9333,3.9265
11,A,A.6,"Ingresos, egresos y margen en el sector de telecomunicaciones",{{FIGURA:A.6}},ANUARIO_FIGURE_A_6,ANUARIO_TEXT_A_6,build/figures/A/figura_a_6.png,3.5917,1.0319,5.9333,3.9265
12,A,A.7,Porcentaje de hogares con servicios de telecomunicaciones fijas por decil de ingreso,{{FIGURA:A.7}},ANUARIO_FIGURE_A_7,ANUARIO_TEXT_A_7,build/figures/A/figura_a_7.png,3.5917,1.0319,5.9333,3.9265
13,A,A.8,Gasto promedio y porcentaje de gasto en Servicios de Telecomunicaciones Fijas de los hogares por decil de ingreso,{{FIGURA:A.8}},ANUARIO_FIGURE_A_8,ANUARIO_TEXT_A_8,build/figures/A/figura_a_8.png,3.5917,1.0319,5.9333,3.9265
14,A,A.9,Porcentaje de hogares con Servicios de Telecomunicaciones Móviles por decil de ingreso,{{FIGURA:A.9}},ANUARIO_FIGURE_A_9,ANUARIO_TEXT_A_9,build/figures/A/figura_a_9.png,3.5917,1.0319,5.9333,3.9265
15,A,A.10,Gasto promedio y porcentaje de gasto en Servicios de Telecomunicaciones Móviles de los hogares por decil de ingreso,{{FIGURA:A.10}},ANUARIO_FIGURE_A_10,ANUARIO_TEXT_A_10,build/figures/A/figura_a_10.png,3.5917,1.0319,5.9333,3.9265
17,B,B.1,Distribución de los Servicios Fijos con respecto del total de hogares a nivel nacional,{{FIGURA:B.1}},ANUARIO_FIGURE_B_1,ANUARIO_TEXT_B_1,build/figures/B/figura_b_1.png,3.5917,1.0319,5.9333,3.9265
18,B,B.2,Distribución de los Servicios Fijos con respecto del total de hogares en las zonas rurales,{{FIGURA:B.2}},ANUARIO_FIGURE_B_2,ANUARIO_TEXT_B_2,build/figures/B/figura_b_2.png,3.5917,1.0319,5.9333,3.9265
