figure_id,inserted_in_pptx,source_pdf_page,update_mode,verification_status,data_file,expected_data_sha256,current_data_sha256,baseline_text_2024,updated_text,notes
A.1,True,11,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_1_datos_usados.csv,aa9e803b540ec50e7c13d6cf77e9d280efd77a6d5cd9b33ac39db2ceb3ce5856,,"En el segundo trimestre de 2024, el PIB de México fue de $ 25,708.48 miles de millones de pesos, de los cuales $ 404.19 miles de millones (1.6%) correspondieron a la contribución de los Subsectores de las Telecomunicaciones y la Radiodifusión (TyR) en su conjunto.","En el segundo trimestre de 2026, el PIB de México fue de $ 26,144.13 miles de millones de pesos, de los cuales $ 440.42 miles de millones (1.7%) correspondieron a la contribución de los Subsectores de las Telecomunicaciones y la Radiodifusión (TyR) en su conjunto.",
A.2,True,12,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_2_datos_usados.csv,5f6e4eb3371483d13914734f5746b5a584d0c477cfaaee99196163752d6b1fc2,,"Al segundo trimestre de 2024, los resultados de la Encuesta Nacional de Ocupación y Empleo (ENOE) indican que el 82% de las personas empleadas se registran en el sector de telecomunicaciones y el 18% restante en el sector de radiodifusión, lo que en su conjunto representa un total de 301,866 personas empleadas en TyR.","Al segundo trimestre de 2026, los resultados de la Encuesta Nacional de Ocupación y Empleo (ENOE) indican que el 87% de las personas empleadas se registran en el sector de telecomunicaciones y el 13% restante en el sector de radiodifusión, lo que en su conjunto representa un total de 279,069 personas empleadas en TyR.",
A.3,True,13,minimal_grammar_adjustment,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_3_datos_usados.csv,281d85a83a3f8218b2ee6281592c1089f43cc2743d7d39cecb19e9514bb516d5,,"En diciembre de 2023, el Índice Nacional de Precios al Consumidor (INPC) tuvo un incremento de 4.9% con respecto del mismo mes de 2022. Por otro lado, el Índice de Precios de Comunicaciones (IPCOM) mostró un decremento del -1.0% en este mismo periodo. Por otro lado, en el periodo de diciembre de 2023 a julio de 2024, el IPCOM llegó a tener una disminución de 1.5%.","En agosto de 2026, el Índice Nacional de Precios al Consumidor (INPC) tuvo un incremento de 3.3% con respecto del mismo mes de 2025. Por otro lado, el Índice de Precios de Comunicaciones (IPCOM) mostró un decremento del -1.5% en el periodo de diciembre de 2023 a julio de 2024. Por otro lado, en el periodo de diciembre de 2023 a julio de 2024, el IPCOM llegó a tener una disminución de 1.5%.",INPC e IPCOM ya no comparten el mismo corte; se ajustó únicamente la referencia del periodo para evitar una afirmación inconsistente.
A.4,True,14,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_4_datos_usados.csv,a1195e2c828976231f9d5fab16f891b2a08e1af8e66b75270c63b6fcc2c362fd,,"La inversión privada total realizada por los operadores de telecomunicaciones en 2023 fue de $55.7 mil millones de pesos. De la cual, la mayor parte fue dirigida a infraestructura con un 72.8% del total de la inversión en el sector.","La inversión privada total realizada por los operadores de telecomunicaciones en 2024 fue de $43.4 mil millones de pesos. De la cual, la mayor parte fue dirigida a infraestructura con un 77.8% del total de la inversión en el sector.",
A.5,True,15,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_5_datos_usados.csv,f1823caf7c8c555a4643251e6673ab56b489077fd75bab76974e5f64d46d70c9,,"Para 2024, la Inversión Extranjera Directa (IED) en el sector de telecomunicaciones acumulada al mes de junio fue de $169.1 millones de dólares estadounidenses, lo que representó el 1% de la IED nacional.","Para 2026, la Inversión Extranjera Directa (IED) en el sector de telecomunicaciones acumulada al mes de marzo fue de $-22.36 millones de dólares estadounidenses, lo que representó el -0.09% de la IED nacional.",
A.6,True,16,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_6_datos_usados.csv,c7c879686ba09573d9808d654825dbb97060c633caddc999e114eb224c286cac,,"Los operadores de telecomunicaciones en 2023 reportaron en conjunto aproximadamente $159 mil millones de pesos de ingresos y $113 mil millones de pesos de egresos, por lo que el margen de utilidad fue de $46 mil millones de pesos, lo que equivale a 29% de los ingresos.","Los operadores de telecomunicaciones en 2024 reportaron en conjunto aproximadamente $163.1 mil millones de pesos de ingresos y $115.8 mil millones de pesos de egresos, por lo que el margen de utilidad fue de $47.3 mil millones de pesos, lo que equivale a 29% de los ingresos.",
A.7,True,17,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_7_datos_usados.csv,491c69a0a832f308e8731998339aa0705dedf35230647d6fb8667a4fc844a546,,"Los resultados de la Encuesta Nacional de Ingresos y Gastos de los Hogares (ENIGH) 2022 indican que, en el segmento de las telecomunicaciones fijas, a mayor nivel de ingresos, mayor es el porcentaje de hogares que gastan y disponen de servicios fijos de telecomunicaciones1.","Los resultados de la Encuesta Nacional de Ingresos y Gastos de los Hogares (ENIGH) 2024 indican que, en el segmento de las telecomunicaciones fijas, a mayor nivel de ingresos, mayor es el porcentaje de hogares que gastan y disponen de servicios fijos de telecomunicaciones1.",
A.8,True,18,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_8_datos_usados.csv,1ababb8e3e5094b5ad09020ca8f33adc92e24b6a43d2f062b3ce213ba499973f,,"En cuanto al gasto en servicios fijos de telecomunicaciones, la ENIGH 2022 indica que, en los hogares con ingresos bajos, el porcentaje que representa el gasto que tienen en servicios fijos de telecomunicaciones con respecto a su ingreso es mayor que en los hogares con mayores ingresos. Mientras que, los hogares en el decil 1 de ingresos gastan $349 pesos mensuales en servicios fijos de telecomunicaciones, que representa el 6.9% de sus ingresos, los hogares en el decil 10 de ingresos gastan $747 pesos mensuales en estos servicios, pero solo representa el 1.0% de sus ingresos.","En cuanto al gasto en servicios fijos de telecomunicaciones, la ENIGH 2024 indica que, en los hogares con ingresos bajos, el porcentaje que representa el gasto que tienen en servicios fijos de telecomunicaciones con respecto a su ingreso es mayor que en los hogares con mayores ingresos. Mientras que, los hogares en el decil 1 de ingresos gastan $340 pesos mensuales en servicios fijos de telecomunicaciones, que representa el 5.8% de sus ingresos, los hogares en el decil 10 de ingresos gastan $691 pesos mensuales en estos servicios, pero solo representa el 0.9% de sus ingresos.",
A.9,True,19,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_9_datos_usados.csv,01443fb4b97f6f9e8f7af752bfa87d4c9fa9bf46f32459e488ea73e74b2dcf2a,,"En el segmento de las telecomunicaciones móviles, la ENIGH 2022 indica que, a un mayor nivel de ingresos, mayor es el porcentaje de hogares que disponen y gastan en servicios móviles de telecomunicaciones.","En el segmento de las telecomunicaciones móviles, la ENIGH 2024 indica que, a un mayor nivel de ingresos, mayor es el porcentaje de hogares que disponen y gastan en servicios móviles de telecomunicaciones.",
A.10,True,20,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/a_10_datos_usados.csv,90d6ea6126f3273345a075ac5408bd6909cebf07337cf681f43e584beb6ef8e9,,"En cuanto al gasto en servicios móviles de telecomunicaciones, los resultados indican que, en los hogares con ingresos bajos, el porcentaje que representa el gasto que tienen en servicios móviles de telecomunicaciones con respecto a su ingreso es mayor que en los hogares con mayores ingresos. Mientras que, los hogares en el decil 1 de ingresos gastan $167 pesos mensuales en servicios móviles de telecomunicaciones, que representa el 3.4% de sus ingresos, los hogares en el decil 10 de ingresos gastan $885 pesos mensuales en estos servicios, pero solo representa el 1.2% de sus ingresos.","En cuanto al gasto en servicios móviles de telecomunicaciones, los resultados indican que, en los hogares con ingresos bajos, el porcentaje que representa el gasto que tienen en servicios móviles de telecomunicaciones con respecto a su ingreso es mayor que en los hogares con mayores ingresos. Mientras que, los hogares en el decil 1 de ingresos gastan $178 pesos mensuales en servicios móviles de telecomunicaciones, que representa el 3.0% de sus ingresos, los hogares en el decil 10 de ingresos gastan $948 pesos mensuales en estos servicios, pero solo representa el 1.2% de sus ingresos.",
