anio,trimestre,periodo,ied_mexico_millones_usd,ied_telecom_millones_usd,participacion_telecom_pct
2013,4,enero-diciembre,48357.10838733467,2682.648599859971,5.547578607000807
2014,4,enero-diciembre,30352.40899111658,-4272.787142310008,-14.077258722892639
2015,4,enero-diciembre,35945.607983970964,2749.698255849999,7.6496084224702985
2016,4,enero-diciembre,31192.354981810688,684.5985993999996,2.194764068949626
2017,4,enero-diciembre,34064.56781329167,321.4826447542341,0.943744968426679
2018,4,enero-diciembre,34114.12337441555,1062.239894290001,3.1137833519317266
2019,4,enero-diciembre,34798.52503376475,1661.17838950274,4.773703448324062
2020,4,enero-diciembre,28284.24603275069,1107.760697387902,3.916528996760994
2021,4,enero-diciembre,33855.04715845614,392.325754853263,1.1588397824909538
2022,4,enero-diciembre,36420.58194170795,74.34380962211485,0.20412581474152167
2023,4,enero-diciembre,36507.39007667482,-959.0540860466822,-2.6270135554265157
2024,4,enero-diciembre,37969.171663407884,148.5555658614193,0.39125311233636184
2025,4,enero-diciembre,41916.68016358358,-73.84244379945517,-0.1761648191394892
2026,1,enero-marzo,24503.050788930195,-22.35764144539575,-0.09124431744432542
