tamano,beneficio,porcentaje
General,Incremento de ventas,65.65488138235561
General,Ampliar canales de venta,17.17034372616853
General,Inclusión de marketing digital,6.679021585837503
General,Rapidez de ventas o compras,8.053569737074511
General,Otros,1.1820725136663037
Micro,Incremento de ventas,66.2411141737995
Micro,Ampliar canales de venta,16.91571159146961
Micro,Inclusión de marketing digital,6.368779921659655
Micro,Rapidez de ventas o compras,7.950094298563763
Micro,Otros,1.2186275932105037
Pequeña,Incremento de ventas,57.23276015591176
Pequeña,Ampliar canales de venta,20.7556570843621
Pequeña,Inclusión de marketing digital,11.348143943245876
Pequeña,Rapidez de ventas o compras,9.52193598388253
Pequeña,Otros,0.5886453427305484
Mediana,Incremento de ventas,60.172095881991396
Mediana,Ampliar canales de venta,20.098340503995075
Mediana,Inclusión de marketing digital,7.990165949600492
Mediana,Rapidez de ventas o compras,9.157959434542102
Mediana,Otros,1.352181929932391
