categoria,general_pct,mujeres_pct,hombres_pct
Evitar compartir información personal,90.25835448152306,91.17799003613189,89.27956340959426
Evitar compartir contraseñas,89.48464191026405,91.53830407785918,87.29887801246096
Revisar un perfil antes de aceptarlo,87.61780125875451,89.96781459592366,85.11662341519755
Ser más precavido al abrir vínculos o archivos,86.6809745469417,87.53150445597004,85.77573433825982
Evitar publicar información de ubicación,86.02013816111884,87.60606903675453,84.33219235042347
Mantener redes sociales privadas,81.97244216688992,84.56509354804183,79.21301859765347
Restringir fotos o videos,80.85784388265935,82.5921154864214,79.01201533290954
Cuestionar el contenido antes de publicarlo,74.38956001454287,76.09534538786265,72.57405007077783
Limitar la actividad en redes sociales,71.90227249846724,71.93660350168665,71.86573315494897
Comentar con otras personas lo que sucede,71.24697626505504,71.47096511998382,71.00857933670981
