figure_id,source_id,owner,title,expected_period,acquisition_mode,landing_page,exact_url,configuration_status
A.1,inegi_pibt_2026_q2,INEGI,"Producto Interno Bruto Trimestral (PIBT), series originales a precios constantes de 2018",2026-T2,http,https://www.inegi.org.mx/programas/pib/,https://www.inegi.org.mx/contenidos/programas/pib/2018/tabulados/ori/PIBT_2.xlsx,CONFIGURADA
A.2,inegi_enoe_2026_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2026-T2,http,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_2026_trim2_csv.zip,CONFIGURADA
A.3,inegi_inpc_dynamic,INEGI,"INPC e índice de la división Comunicaciones, serie previa a la actualización 2024",2024-07,playwright,https://www.inegi.org.mx/programas/inpc/2018a/,https://www.inegi.org.mx/app/indicesdeprecios/Estructura.aspx?idEstructura=112001300090&T=%C3%8Dndices+de+Precios+al+Consumidor&ST=Clasi,CONFIGURADA
A.3,inegi_inpc_current_2026_07_reference,INEGI,INPC mensual nacional,2026-08,http,https://www.inegi.org.mx/programas/inpc/2018a/,https://www.inegi.org.mx/contenidos/programas/inpc/2018a/datosabiertos/conjunto_de_datos_inpc_indicador_mensual_csv.zip,CONFIGURADA
A.4,crt_bit_todo_2025_q2,"Comisión Reguladora de Telecomunicaciones (CRT), archivo BIT del IFT",BIT: descarga global de datos públicos,según la tabla,http,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml,https://bit.crt.gob.mx/descargas/datos/tabs/TODO.zip,CONFIGURADA
A.5,se_ied_general_2026_q2,Secretaría de Economía,IED total de México: cifras originales y actualización,2026-T2,manual,https://www.gob.mx/se/acciones-y-programas/competitividad-y-normatividad-inversion-extranjera-directa?state=published,https://www.gob.mx/cms/uploads/attachment/file/1100772/Datos_originales_y_actualizacion__1_.xlsx,CONFIGURADA
A.5,se_ied_sector_2026_q2,Secretaría de Economía,"IED por tipo de inversión y actividad económica, cifras actualizadas",2026-T2,manual,https://www.gob.mx/se/acciones-y-programas/competitividad-y-normatividad-inversion-extranjera-directa?state=published,https://www.gob.mx/cms/uploads/attachment/file/1100604/2026_2T_Flujos_TI_AC_3.xlsx,CONFIGURADA
A.6,crt_bit_todo_2025_q2,"Comisión Reguladora de Telecomunicaciones (CRT), archivo BIT del IFT",BIT: descarga global de datos públicos,según la tabla,http,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml,https://bit.crt.gob.mx/descargas/datos/tabs/TODO.zip,CONFIGURADA
A.7,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,http,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,CONFIGURADA
A.8,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,http,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,CONFIGURADA
A.9,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,http,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,CONFIGURADA
A.10,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,http,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,CONFIGURADA
B.1,inegi_endutih_2025,INEGI,"ENDUTIH 2025, datos abiertos CSV",2025,http,https://www.inegi.org.mx/programas/endutih/2025/,https://www.inegi.org.mx/contenidos/programas/endutih/2025/datosabiertos/conjunto_de_datos_endutih_2025_csv.zip,CONFIGURADA
B.2,inegi_endutih_2025,INEGI,"ENDUTIH 2025, datos abiertos CSV",2025,http,https://www.inegi.org.mx/programas/endutih/2025/,https://www.inegi.org.mx/contenidos/programas/endutih/2025/datosabiertos/conjunto_de_datos_endutih_2025_csv.zip,CONFIGURADA
