anio,indicador,porcentaje,porcentaje_grafica,origen_calculo
2010,Equipo de cómputo,29.791100157622985,30,tabulado nacional INEGI
2010,Aparatos de radio,82.54428472044852,83,tabulado nacional INEGI
2010,Televisor analógico,93.5497733815656,94,tabulado nacional INEGI
2010,Televisor digital,13.924444423078764,14,tabulado nacional INEGI
2010,Teléfono celular,71.0,71,serie MODUTIH publicada en Anuario 2024
2011,Equipo de cómputo,30.036327193206684,30,tabulado nacional INEGI
2011,Aparatos de radio,80.9710302151176,81,tabulado nacional INEGI
2011,Televisor analógico,93.38888203436326,93,tabulado nacional INEGI
2011,Televisor digital,16.6478609156225,17,tabulado nacional INEGI
2011,Teléfono celular,62.0,62,serie MODUTIH publicada en Anuario 2024
2012,Equipo de cómputo,32.19471708078546,32,tabulado nacional INEGI
2012,Aparatos de radio,79.27451698505756,79,tabulado nacional INEGI
2012,Televisor analógico,91.05624653296556,91,tabulado nacional INEGI
2012,Televisor digital,22.46088454293959,22,tabulado nacional INEGI
2012,Teléfono celular,65.0,65,serie MODUTIH publicada en Anuario 2024
2013,Equipo de cómputo,35.7928577435681,36,tabulado nacional INEGI
2013,Aparatos de radio,76.92062188955757,77,tabulado nacional INEGI
2013,Televisor analógico,87.85318866882861,88,tabulado nacional INEGI
2013,Televisor digital,27.231197003423244,27,tabulado nacional INEGI
2013,Teléfono celular,67.0,67,serie MODUTIH publicada en Anuario 2024
2014,Equipo de cómputo,38.29201478333321,38,tabulado nacional INEGI
2014,Aparatos de radio,73.28976619809463,73,tabulado nacional INEGI
2014,Televisor analógico,84.87926949737346,85,tabulado nacional INEGI
2014,Televisor digital,31.079269497373446,31,tabulado nacional INEGI
2014,Teléfono celular,42.0,42,serie MODUTIH publicada en Anuario 2024
2015,Equipo de cómputo,44.850308474189156,45,tabulado nacional INEGI
2015,Aparatos de radio,65.89883273177736,66,tabulado nacional INEGI
2015,Televisor analógico,69.70857666971281,70,tabulado nacional INEGI
2015,Televisor digital,46.85383881617168,47,tabulado nacional INEGI
2015,Teléfono celular,85.08105828902005,85,tabulado nacional INEGI
2016,Equipo de cómputo,45.440713429646735,46,tabulado nacional INEGI
2016,Aparatos de radio,61.521447722405945,62,tabulado nacional INEGI
2016,Televisor analógico,51.116400347076116,64,tabulado nacional INEGI
2016,Televisor digital,67.88518493964804,66,tabulado nacional INEGI
2016,Teléfono celular,86.38613603239688,86,tabulado nacional INEGI
2017,Equipo de cómputo,45.27047582572493,45,tabulado nacional INEGI
2017,Aparatos de radio,58.63182072557811,59,tabulado nacional INEGI
2017,Televisor analógico,44.60077723851988,45,tabulado nacional INEGI
2017,Televisor digital,70.4802587685201,70,tabulado nacional INEGI
2017,Teléfono celular,89.3,89,tabulado nacional INEGI
2018,Equipo de cómputo,44.65522166460445,45,tabulado nacional INEGI
2018,Aparatos de radio,56.13410322797997,56,tabulado nacional INEGI
2018,Televisor analógico,39.478637217296644,39,tabulado nacional INEGI
2018,Televisor digital,72.82438943132512,73,tabulado nacional INEGI
2018,Teléfono celular,89.5,90,tabulado nacional INEGI
2019,Equipo de cómputo,43.939616318280706,44,tabulado nacional INEGI
2019,Aparatos de radio,53.720947058288914,54,tabulado nacional INEGI
2019,Televisor analógico,33.79671090522557,34,tabulado nacional INEGI
2019,Televisor digital,76.33659309865558,76,tabulado nacional INEGI
2019,Teléfono celular,89.4,89,tabulado nacional INEGI
2020,Equipo de cómputo,43.75985664408291,44,tabulado nacional INEGI
2020,Aparatos de radio,51.36392302084977,51,tabulado nacional INEGI
2020,Televisor analógico,29.25203393381447,29,tabulado nacional INEGI
2020,Televisor digital,76.40054162010526,76,tabulado nacional INEGI
2020,Teléfono celular,91.9,92,tabulado nacional INEGI
2021,Equipo de cómputo,44.81552355602495,45,tabulado nacional INEGI
2021,Aparatos de radio,48.53677601131802,49,tabulado nacional INEGI
2021,Televisor analógico,25.149285286899953,25,tabulado nacional INEGI
2021,Televisor digital,78.33124105026337,78,tabulado nacional INEGI
2021,Teléfono celular,93.5,93,tabulado nacional INEGI
2022,Equipo de cómputo,43.89844315551928,44,tabulado nacional INEGI
2022,Aparatos de radio,47.497191746737386,47,tabulado nacional INEGI
2022,Televisor analógico,22.27648513283709,22,tabulado nacional INEGI
2022,Televisor digital,79.48244292057488,79,tabulado nacional INEGI
2022,Teléfono celular,93.81719022087566,94,tabulado nacional INEGI
2023,Equipo de cómputo,43.848331798538744,44,microdatos ENDUTIH
2023,Aparatos de radio,42.69271186022514,43,microdatos ENDUTIH
2023,Televisor analógico,18.609650335815438,19,microdatos ENDUTIH
2023,Televisor digital,81.6729967720514,82,microdatos ENDUTIH
2023,Teléfono celular,95.05240837449786,95,microdatos ENDUTIH
2024,Equipo de cómputo,43.94153051711483,44,microdatos ENDUTIH
2024,Aparatos de radio,38.233508889610235,38,microdatos ENDUTIH
2024,Televisor analógico,14.63196509404647,15,microdatos ENDUTIH
2024,Televisor digital,83.90383687210846,84,microdatos ENDUTIH
2024,Teléfono celular,94.99701576414819,95,microdatos ENDUTIH
2025,Equipo de cómputo,44.70025554534714,45,microdatos ENDUTIH
2025,Aparatos de radio,34.73117937023146,35,microdatos ENDUTIH
2025,Televisor analógico,11.257373133759593,11,microdatos ENDUTIH
2025,Televisor digital,85.33539589618276,85,microdatos ENDUTIH
2025,Teléfono celular,94.93242492255938,95,microdatos ENDUTIH
