anio,total_miles_millones_pesos,infraestructura_miles_millones_pesos,infraestructura_pct,otros_activos_miles_millones_pesos,otros_activos_pct,activos_no_tangibles_miles_millones_pesos,activos_no_tangibles_pct,no_especificada_miles_millones_pesos,no_especificada_pct,suma_componentes_miles_millones_pesos,diferencia_componentes_total
2013,64.07478177125,63.07407165175,98.43821532928105,0.6760268621000001,1.0550591721302274,0.3246832574,0.5067254985887186,0.0,0.0,64.07478177125,0.0
2014,51.86748600914,40.58049496284001,78.23879290330166,1.0851961342,2.0922474129722977,0.3434824671,0.6622307991551242,9.858312445,19.00672888457093,51.86748600914001,7.105427357601002e-15
2015,86.24740765690001,40.45219648445,46.90250708215196,1.40396754701,1.6278373868291902,6.15997389424,7.142213385409719,38.231269731199994,44.32744214560911,86.24740765689998,-2.842170943040401e-14
2016,101.03429195894999,87.09144827749,86.19988974919038,3.94226394309,3.9019068344555063,10.000579738369998,9.898203416354134,0.0,0.0,101.03429195894999,0.0
2017,84.99006212203999,65.0534708642,76.54244418693047,5.92428910941,6.970566865692039,14.01230214843,16.486988947377494,0.0,0.0,84.99006212203999,0.0
2018,81.20130387825999,61.03299327334,75.16257788771831,6.75250156291,8.315755093087668,13.41580904201,16.521667019194027,0.0,0.0,81.20130387825999,0.0
2019,81.42932730669,51.627076995909995,63.401084969626744,8.46947009136,10.401007071397203,21.33278021942,26.197907958976053,0.0,0.0,81.42932730669,0.0
2020,84.80719164595,63.04791823258,74.34265539152643,9.49925762505,11.20100482127407,12.26001578832,14.456339787199502,0.0,0.0,84.80719164595001,1.4210854715202004e-14
2021,76.57330201850999,57.09337214439,74.56041549649886,10.51846664313,13.736467366377095,8.96146313123,11.703117006843657,9.976e-08,1.3028039456347999e-07,76.57330201851,1.4210854715202004e-14
2022,69.55090348658,48.29736635919,69.44175264165919,13.84877130364,19.911705828971943,7.40476582375,10.64654152936887,0.0,0.0,69.55090348658,0.0
2023,56.45456223582,41.29979477184,73.15581440402276,5.25194016001,9.30295081923013,9.90282730397,17.54123477674711,0.0,0.0,56.45456223582,0.0
2024,43.39945017673001,33.75171880467,77.76992258479592,4.02973190144,9.28521417905121,5.61799947062,12.944863236152859,0.0,0.0,43.39945017673,-7.105427357601002e-15
