anio_bit,mes_bit,K_ENTIDAD,accesos_no_residenciales,unidades_economicas,entidad,penetracion,penetracion_grafica
2024,12,1,8835.0,71871,Aguascalientes,12.29285803731686,12
2024,12,2,19640.0,139208,Baja California,14.108384575599104,14
2024,12,3,1692.0,42577,Baja California Sur,3.9739765601146155,4
2024,12,4,2313.0,47821,Campeche,4.836787185546099,5
2024,12,5,7418.0,126952,Coahuila de Zaragoza,5.8431533177894,6
2024,12,6,3040.0,42073,Colima,7.225536567394767,7
2024,12,7,10258.0,250960,Chiapas,4.087503984698756,4
2024,12,8,10265.0,142295,Chihuahua,7.213886643943919,7
2024,12,9,1262238.0,462732,Ciudad de México,272.77949223308525,273
2024,12,10,5929.0,75111,Durango,7.893650730252559,8
2024,12,11,31143.0,296441,Guanajuato,10.505631812063783,11
2024,12,12,8021.0,185797,Guerrero,4.317077240213782,4
2024,12,13,6285.0,160666,Hidalgo,3.9118419578504473,4
2024,12,14,31602.0,401813,Jalisco,7.864852555790877,8
2024,12,15,451627.0,820853,México,55.01922999611379,55
2024,12,16,16227.0,287049,Michoacán de Ocampo,5.653041815160478,6
2024,12,17,11107.0,113066,Morelos,9.823465940247289,10
2024,12,18,6120.0,73357,Nayarit,8.342762108592227,8
2024,12,19,20463.0,211349,Nuevo León,9.682089813531174,10
2024,12,20,10338.0,280588,Oaxaca,3.684405605371577,4
2024,12,21,17941.0,410693,Puebla,4.368469878960683,4
2024,12,22,15704.0,108868,Querétaro,14.424808024396519,14
2024,12,23,19846.0,69260,Quintana Roo,28.65434594282414,29
2024,12,24,5406.0,127613,San Luis Potosí,4.236245523575184,4
2024,12,25,18983.0,138882,Sinaloa,13.668437954522544,14
2024,12,26,15579.0,128315,Sonora,12.1412149787632,12
2024,12,27,2102.0,95379,Tabasco,2.2038394195787334,2
2024,12,28,6129.0,148882,Tamaulipas,4.116683010706466,4
2024,12,29,1774.0,99366,Tlaxcala,1.7853189219652597,2
2024,12,30,25900.0,356724,Veracruz de Ignacio de la Llave,7.260515132146981,7
2024,12,31,9321.0,146384,Yucatán,6.367499180238277,6
2024,12,32,2257.0,75130,Zacatecas,3.0041261812857716,3
