ANIO,TRAF_E,TRAFICO_MILLONES_MINUTOS
2000,8068535194.0,8068.535194
2001,10460029562.0,10460.029562
2002,12154589595.0,12154.589595
2003,12003117717.0,12003.117717
2004,11874477744.0,11874.477744
2005,11478411000.0,11478.411
2006,10773831884.0,10773.831884
2007,9688341613.0,9688.341613
2008,8495561423.0,8495.561423
2009,6964910455.0,6964.910455
2010,6308780150.0,6308.78015
2011,5638191180.0,5638.19118
2012,5556141852.0,5556.141852
2013,5699804953.0,5699.804953
2014,2709551246.0,2709.551246
2015,3248109780.0,3248.10978
2016,2303788018.0,2303.788018
2017,3461700144.0,3461.700144
2018,2555713522.0,2555.713522
2019,2144082900.0,2144.0829
2020,1965204865.0,1965.204865
2021,1556246617.82,1556.24661782
2022,1297049139.63,1297.0491396300001
2023,989799818.5699999,989.79981857
2024,938057057.5699999,938.05705757
