anio,tamano,beneficio,servicio,promedio
2024,Micro,Más gente conoce la empresa,Internet fijo,7.700242338713526
2024,Micro,Más gente conoce la empresa,Telefonía fija,6.858180839612488
2024,Pequeña,Más gente conoce la empresa,Internet fijo,8.433998198789798
2024,Pequeña,Más gente conoce la empresa,Telefonía fija,7.856670615707256
2024,Mediana,Más gente conoce la empresa,Internet fijo,8.699671515720318
2024,Mediana,Más gente conoce la empresa,Telefonía fija,7.729817007534983
2024,Micro,Están más cerca de sus clientes/consumidores,Internet fijo,7.483548567224915
2024,Micro,Están más cerca de sus clientes/consumidores,Telefonía fija,7.042384284176536
2024,Pequeña,Están más cerca de sus clientes/consumidores,Internet fijo,8.286052333616226
2024,Pequeña,Están más cerca de sus clientes/consumidores,Telefonía fija,7.929808272134228
2024,Mediana,Están más cerca de sus clientes/consumidores,Internet fijo,8.51947442515251
2024,Mediana,Están más cerca de sus clientes/consumidores,Telefonía fija,7.702368137782561
2024,Micro,Hay más ventas/clientes,Internet fijo,7.497863111048485
2024,Micro,Hay más ventas/clientes,Telefonía fija,6.874511915982228
2024,Pequeña,Hay más ventas/clientes,Internet fijo,8.249392332752793
2024,Pequeña,Hay más ventas/clientes,Telefonía fija,7.731857644448821
2024,Mediana,Hay más ventas/clientes,Internet fijo,8.366963866729234
2024,Mediana,Hay más ventas/clientes,Telefonía fija,7.516684607104413
2024,Micro,Disminución de costos al encontrar mejores proveedores,Internet fijo,7.032891432561096
2024,Micro,Disminución de costos al encontrar mejores proveedores,Telefonía fija,6.561221743810551
2024,Pequeña,Disminución de costos al encontrar mejores proveedores,Internet fijo,7.83749942527673
2024,Pequeña,Disminución de costos al encontrar mejores proveedores,Telefonía fija,7.547087415576845
2024,Mediana,Disminución de costos al encontrar mejores proveedores,Internet fijo,8.058188643829189
2024,Mediana,Disminución de costos al encontrar mejores proveedores,Telefonía fija,7.487621097954789
2024,Micro,Desarrollar nuevos productos o servicios,Internet fijo,7.003091775639746
2024,Micro,Desarrollar nuevos productos o servicios,Telefonía fija,6.40784155214228
2024,Pequeña,Desarrollar nuevos productos o servicios,Internet fijo,8.038215680193213
2024,Pequeña,Desarrollar nuevos productos o servicios,Telefonía fija,7.521570948197993
2024,Mediana,Desarrollar nuevos productos o servicios,Internet fijo,8.22524636320976
2024,Mediana,Desarrollar nuevos productos o servicios,Telefonía fija,7.39989235737352
2024,Micro,Entrega más rápida o menos costosa,Internet fijo,6.835559999680508
2024,Micro,Entrega más rápida o menos costosa,Telefonía fija,6.552007545136083
2024,Pequeña,Entrega más rápida o menos costosa,Internet fijo,7.854435633994653
2024,Pequeña,Entrega más rápida o menos costosa,Telefonía fija,7.605416536712553
2024,Mediana,Entrega más rápida o menos costosa,Internet fijo,8.055162659123054
2024,Mediana,Entrega más rápida o menos costosa,Telefonía fija,7.566738428417653
2024,Micro,Los empleados hacen más en el mismo tiempo,Internet fijo,6.687974198381776
2024,Micro,Los empleados hacen más en el mismo tiempo,Telefonía fija,6.257938643702908
2024,Pequeña,Los empleados hacen más en el mismo tiempo,Internet fijo,7.932560507119844
2024,Pequeña,Los empleados hacen más en el mismo tiempo,Telefonía fija,7.518448212349815
2024,Mediana,Los empleados hacen más en el mismo tiempo,Internet fijo,8.055373064289066
2024,Mediana,Los empleados hacen más en el mismo tiempo,Telefonía fija,7.3562970936490855
