periodo,situacion,Hombres,Mujeres
2025,Otra situación,2.990736273526266,2.7117521074062663
2025,Publicar o vender imágenes o videos de contenido sexual,2.635285239186266,3.1465310849384016
2025,"Publicar y/o enviar información personal, fotos o videos",4.935158091819474,5.240862338395067
2025,"Amenazar con publicar información personal, audios o videos",10.798777398818753,8.808726202362967
2025,Críticas por apariencia o clase social,12.62065830264879,14.97836915893054
2025,Provocaciones para reaccionar de forma negativa,20.424510689174003,16.293693185403495
2025,Rastreo de cuentas o sitios web,17.97289178225149,19.340969239849002
2025,Suplantación de identidad,18.65023752817536,19.405434899612853
2025,Llamadas ofensivas,27.26390887532248,21.635675761951248
2025,Recibir contenido sexual,11.984921468690164,23.53483762485756
2025,Insinuaciones o propuestas sexuales,10.666687088218552,25.200950606331684
2025,Mensajes ofensivos,34.97990217612521,30.812961430103897
2025,Contacto mediante identidades falsas,37.83332671953528,36.75490985757609
