periodo,medida,porcentaje
2025,Publicar la situación en redes sociales,0.8016447442709129
2025,Denunciar ante las autoridades escolares o laborales,1.2703776809101655
2025,Otra,1.9660085221545391
2025,Reportar ante la policía,2.202723579201785
2025,"Informar a una persona (madre, padre, amiga(o), compañera(o) de trabajo, etcétera)",5.482745581172846
2025,Reclamar o confrontar a la persona,7.306142433476159
2025,"Eliminar la publicación, el mensaje o video",7.6301187762012015
2025,Ninguna,7.671552934302523
2025,"Cambiar o cancelar número telefónico, cuenta o contraseña",9.764612114716726
2025,"Denunciar ante el Ministerio Público, Fiscalía Estatal o el proveedor del servicio",11.66757740004886
2025,Ignorar o no contestar,18.869108380847354
2025,"Bloquear (a la persona, cuenta o página)",66.479002998047
