anio,variable,dispositivo,usuarios_expandidos,universo_usuarios_iot,porcentaje
2025,P9_1_8,Dispositivos de entretenimiento,23936102,44867547,53.348363350463536
2025,P9_1_1,Bocina o asistente del hogar,25345344,44867547,56.48925714615065
2025,P9_1_2,Sistemas de videovigilancia,13748111,44867547,30.641548110486184
2025,P9_1_5,Luces o interruptores,4826990,44867547,10.758310455438984
2025,P9_1_7,Electro- domésticos,3320140,44867547,7.39986966526162
2025,P9_1_6,Conexión eléctrica,2790167,44867547,6.218675159575807
2025,P9_1_3,Puertas o ventanas con cerrado digital,1906409,44867547,4.248970865289337
2025,P9_1_9,Automóvil o camioneta,1977601,44867547,4.407642343362342
2025,P9_1_4,Dispositivos de ahorro de energía eléctrica,1071084,44867547,2.387213189970024
2025,P9_1_10,Otros dispositivos,15517,44867547,0.03458401681732233
