anio,servicio,tamano,porcentaje
2023,Internet fijo,General,89.40847217842625
2023,Internet fijo,Micro,89.31323662737988
2023,Internet fijo,Pequeña,89.75713711524136
2023,Internet fijo,Mediana,99.46062567421791
2023,Telefonía fija,General,78.91912425989295
2023,Telefonía fija,Micro,78.41115140525838
2023,Telefonía fija,Pequeña,85.80433480895647
2023,Telefonía fija,Mediana,94.60625674217908
2023,Telefonía móvil,General,29.589156978435742
2023,Telefonía móvil,Micro,30.156391659111513
2023,Telefonía móvil,Pequeña,19.876918714964777
2023,Telefonía móvil,Mediana,27.346278317152112
2023,Televisión de paga,General,25.414149845800143
2023,Televisión de paga,Micro,25.679963735267457
2023,Televisión de paga,Pequeña,21.73252673976199
2023,Televisión de paga,Mediana,17.79935275080906
2024,Internet fijo,General,95.3124680122281
2024,Internet fijo,Micro,95.2337393950472
2024,Internet fijo,Pequeña,96.3332901598825
2024,Internet fijo,Mediana,98.06718821905199
2024,Telefonía fija,General,68.9726897246522
2024,Telefonía fija,Micro,68.29803491143316
2024,Telefonía fija,Pequeña,78.60657483136643
2024,Telefonía fija,Mediana,85.50391164288999
2024,Telefonía móvil,General,29.020552091353082
2024,Telefonía móvil,Micro,28.66184845483164
2024,Telefonía móvil,Pequeña,34.88398725771747
2024,Telefonía móvil,Mediana,31.891394385641963
2024,Televisión de paga,General,27.029613607270825
2024,Televisión de paga,Micro,27.357784859642255
2024,Televisión de paga,Pequeña,22.104907286180826
2024,Televisión de paga,Mediana,20.8927749654855
