periodo,codigo,medio,porcentaje
2025,1,WhatsApp,41.47897463967596
2025,12,Llamadas de teléfono celular,36.52937674590889
2025,2,Facebook,29.749359435959217
2025,4,Instagram,12.470995831525702
2025,3,Messenger,11.727047482122108
2025,9,SMS,5.887986703120751
2025,5,TikTok,4.252033527225532
2025,13,Llamadas de teléfono fijo,4.1316238838531865
2025,11,Correo electrónico personal,2.891883555784989
2025,14,Otro medio,1.3990318761496097
2025,7,X (antes Twitter),0.7833974215331607
2025,10,Correo electrónico institucional,0.6381716254801717
2025,6,Telegram,0.5307604281722164
2025,8,YouTube,0.32873539298979004
