anio,servicio,categoria,anuario_2024,archivo_bit_actual,diferencia
2023,TDT,Comerciales,597,569,-28
2023,TDT,Públicas,278,280,2
2023,TDT,Sociales,52,53,1
2023,TDT,Sociales Comunitarias,7,7,0
2023,TDT,Sociales Indígenas,0,0,0
2023,FM,Comerciales,1171,1165,-6
2023,FM,Públicas,303,300,-3
2023,FM,Sociales,267,267,0
2023,FM,Sociales Comunitarias,144,139,-5
2023,FM,Sociales Indígenas,27,27,0
2023,AM,Comerciales,272,161,-111
2023,AM,Públicas,58,56,-2
2023,AM,Sociales,31,42,11
2023,AM,Sociales Comunitarias,4,4,0
2023,AM,Sociales Indígenas,3,3,0
