etiqueta,anio,mes_inpc,periodo_inpc,inpc,periodo_ipcom,ipcom
2010,2010,12,2010-12,74.93095445061,2010-12,157.877770427737
2011,2011,12,2011-12,77.792385359697,2011-12,149.109327460699
2012,2012,12,2012-12,80.568243283851,2012-12,117.024771470702
2013,2013,12,2013-12,83.770058296773,2013-12,131.238241829181
2014,2014,12,2014-12,87.188983712964,2014-12,122.349348067379
2015,2015,12,2015-12,89.046817717411,2015-12,107.135218520488
2016,2016,12,2016-12,92.039034797764,2016-12,100.269362914329
2017,2017,12,2017-12,98.272882985756,2017-12,100.055686277114
2018,2018,12,2018-12,103.02,2018-12,99.283729196
2019,2019,12,2019-12,105.934,2019-12,98.4393350514
2020,2020,12,2020-12,109.271,2020-12,98.2559772384
2021,2021,12,2021-12,117.308,2021-12,98.6316961532
2022,2022,12,2022-12,126.478,2022-12,92.7836712564
2023,2023,12,2023-12,132.373,2023-12,91.8197514955
2024*,2024,7,2024-07,136.003,2024-07,90.4024265789
2025,2025,12,2025-12,143.042,,
2026,2026,8,2026-08,145.462,,
