anio,trimestre,ingresos_miles_millones_pesos,margen_pct,margen_miles_millones_pesos,egresos_miles_millones_pesos,desglose_disponible
2017,1,113.04626462748,20.0,22.609252925495998,90.437011701984,True
2017,2,114.03799382017,17.0,19.3864589494289,94.6515348707411,True
2017,3,114.08942743738001,15.0,17.113414115607,96.97601332177301,True
2017,4,124.74251308509,13.0,16.2165267010617,108.5259863840283,True
2018,1,114.16638314566,21.0,23.9749404605886,90.19144268507141,True
2018,2,123.76925553534,20.0,24.753851107067998,99.01540442827199,True
2018,3,125.10556618238,17.0,21.267946251004602,103.8376199313754,True
2018,4,130.44552096136,17.0,22.175738563431196,108.2697823979288,True
2019,1,119.32268057925,25.0,29.8306701448125,89.4920104344375,True
2019,2,127.37878102735,25.0,31.8446952568375,95.5340857705125,True
2019,3,131.93458668124,26.0,34.3029925371224,97.6315941441176,True
2019,4,138.3369007801,27.0,37.35096321062699,100.98593756947301,True
2020,1,132.15420452888,22.0,29.073924996353597,103.0802795325264,True
2020,2,118.92674363676001,15.0,17.839011545514,101.08773209124601,True
2020,3,132.48356584791,17.0,22.5222061941447,109.9613596537653,True
2020,4,137.44067508551,17.0,23.364914764536703,114.0757603209733,True
2021,1,131.24261253545,17.0,22.311244131026502,108.93136840442351,True
2021,2,125.60564148951998,17.0,21.352959053218395,104.25268243630158,True
2021,3,134.75738840965,29.0,39.0796426387985,95.67774577085149,True
2021,4,146.89996199314,32.0,47.007987837804805,99.8919741553352,True
2022,1,134.41898257253,32.0,43.01407442320961,91.4049081493204,True
2022,2,141.73138398522,30.0,42.519415195566,99.211968789654,True
2022,3,134.66016567957,30.0,40.398049703871,94.262115975699,True
2022,4,154.25093423785,30.0,46.275280271355,107.975653966495,True
2023,1,145.83487381765,31.0,45.2088108834715,100.62606293417849,True
2023,2,148.40252137216999,30.0,44.520756411651,103.88176496051898,True
2023,3,150.0415071801,33.0,49.513697369433004,100.52780981066701,True
2023,4,159.1437103824,29.0,46.151676010896,112.992034371504,True
2024,1,154.5248929591095,,,,False
2024,2,150.57914856317691,,,,False
2024,3,157.7294267506704,,,,False
2024,4,163.13792358736669,,,,False
