anio_bit,mes_bit,anio_endutih,K_ENTIDAD,accesos_residenciales,hogares_expandidos,entidad,penetracion,penetracion_grafica
2024,12,2025,1,304366.0,443286,Aguascalientes,68.66131571942267,69
2024,12,2025,2,786652.0,1152629,Baja California,68.24849973408617,68
2024,12,2025,3,173945.0,279970,Baja California Sur,62.129871057613315,62
2024,12,2025,4,116488.0,273035,Campeche,42.664127309685576,43
2024,12,2025,5,531432.0,1039759,Coahuila de Zaragoza,51.111074777905266,51
2024,12,2025,6,132277.0,244969,Colima,53.99744457461965,54
2024,12,2025,7,462675.0,1614575,Chiapas,28.65614790269885,29
2024,12,2025,8,575338.0,1298473,Chihuahua,44.30881504659704,44
2024,12,2025,9,1012357.0,3185701,Ciudad de México,31.778154949256066,32
2024,12,2025,10,337202.0,573793,Durango,58.76718607581479,59
2024,12,2025,11,971644.0,1823041,Guanajuato,53.29797848759298,53
2024,12,2025,12,430610.0,1042451,Guerrero,41.30745713707407,41
2024,12,2025,13,399033.0,1032316,Hidalgo,38.65415241069595,39
2024,12,2025,14,1677342.0,2619388,Jalisco,64.03564496745041,64
2024,12,2025,15,2315043.0,5103570,México,45.36124712701109,45
2024,12,2025,16,816104.0,1514988,Michoacán de Ocampo,53.86867750767663,54
2024,12,2025,17,394645.0,641658,Morelos,61.50394758578558,62
2024,12,2025,18,212894.0,411747,Nayarit,51.70505188865978,52
2024,12,2025,19,1155754.0,1849759,Nuevo León,62.4813286487591,62
2024,12,2025,20,416752.0,1248580,Oaxaca,33.378077496035495,33
2024,12,2025,21,769921.0,1821378,Puebla,42.27134620051412,42
2024,12,2025,22,653116.0,787078,Querétaro,82.97983173205196,83
2024,12,2025,23,277849.0,636148,Quintana Roo,43.67678590516672,44
2024,12,2025,24,446599.0,867384,San Luis Potosí,51.488037593499534,51
2024,12,2025,25,630671.0,950330,Sinaloa,66.3633685140951,66
2024,12,2025,26,664087.0,976958,Sonora,67.9749794771116,68
2024,12,2025,27,249150.0,778428,Tabasco,32.006813732291235,32
2024,12,2025,28,505897.0,1133137,Tamaulipas,44.645704800037414,45
2024,12,2025,29,163272.0,408004,Tlaxcala,40.01725473279674,40
2024,12,2025,30,1064267.0,2696597,Veracruz de Ignacio de la Llave,39.4670393833413,39
2024,12,2025,31,259390.0,715497,Yucatán,36.25312195578738,36
2024,12,2025,32,227075.0,512871,Zacatecas,44.27526610005245,44
