ANIO,América Móvil,Grupo Televisa,Megacable-MCM,Grupo Salinas,Axtel,Telefónica,Otros
2013,70.11,8.879999999999999,3.94,0.99,4.85,7.42,3.82
2014,67.34,11.5,4.62,1.34,4.67,7.27,3.27
2015,63.1,14.76,5.6,1.97,4.12,7.08,3.3699999999999997
2016,61.97,16.19,7.13,3.17,5.41,4.73,1.4
2017,60.25,17.1,8.71,4.26,5.25,3.22,1.22
2018,57.84,19.22,10.07,5.62,3.54,2.48,1.22
2019,53.25,23.14,11.17,7.37,2.22,1.75,1.1
2020,47.55,24.23,12.58,11.32,1.81,1.43,1.08
2021,43.23,25.09,13.45,15.26,2.51,0.05,0.39
2022,38.59,26.17,15.75,17.25,1.89,0.01,0.33999999999999997
2023,35.14,27.55,17.64,17.45,1.76,0.01,0.43
2024,32.4,26.59,19.52,19.43,1.67,0.0,0.39999999999999997
