edad,nivel,porcentaje
18 a 24 años,Muy seguro,3.3813529193082683
18 a 24 años,Seguro,52.70100449039767
18 a 24 años,Ni seguro ni inseguro,14.122943118123441
18 a 24 años,Inseguro,17.588909842204785
18 a 24 años,NS/NR,11.925596576348301
25 a 34 años,Muy seguro,3.943214303681021
25 a 34 años,Seguro,52.05023565388861
25 a 34 años,Ni seguro ni inseguro,10.967226034351436
25 a 34 años,Inseguro,16.725901009737036
25 a 34 años,NS/NR,15.454561908543882
35 a 44 años,Muy seguro,3.7924075983538317
35 a 44 años,Seguro,49.581114174128984
35 a 44 años,Ni seguro ni inseguro,7.512415794254074
35 a 44 años,Inseguro,18.271441104146685
35 a 44 años,NS/NR,19.82865846656955
45 a 54 años,Muy seguro,4.455599903185196
45 a 54 años,Seguro,52.648279239180575
45 a 54 años,Ni seguro ni inseguro,7.4305397528134085
45 a 54 años,Inseguro,18.203321594631262
45 a 54 años,NS/NR,16.814292474565075
55 años o más,Muy seguro,2.8802546061313756
55 años o más,Seguro,43.15287245263381
55 años o más,Ni seguro ni inseguro,7.994700315049491
55 años o más,Inseguro,15.64679337765407
55 años o más,NS/NR,29.118384113544906
