anio,servicio,tamano,igs
2023,Internet fijo,Micro,74.40362898109377
2023,Internet fijo,Pequeña,76.93681685468177
2023,Internet fijo,Mediana,79.22993492407807
2023,Telefonía fija,Micro,75.17343546755313
2023,Telefonía fija,Pequeña,76.0228822842695
2023,Telefonía fija,Mediana,78.23546180159633
2024,Internet fijo,Micro,76.21021718370844
2024,Internet fijo,Pequeña,76.1262353098905
2024,Internet fijo,Mediana,75.56311590802437
2024,Telefonía fija,Micro,76.81188651337906
2024,Telefonía fija,Pequeña,77.52298595885385
2024,Telefonía fija,Mediana,78.86167922497309
