anio,dispositivo,tamano,porcentaje
2023,Teléfonos móviles inteligentes,General,98.53026687284682
2023,Teléfonos móviles inteligentes,Micro,98.684704998121
2023,Teléfonos móviles inteligentes,Pequeña,94.84685577697358
2023,Teléfonos móviles inteligentes,Mediana,96.05522682445758
2023,Computadoras de escritorio,General,49.11562410708365
2023,Computadoras de escritorio,Micro,47.370806890299185
2023,Computadoras de escritorio,Pequeña,74.05600677194629
2023,Computadoras de escritorio,Mediana,93.25782092772383
2023,"Terminal punto de venta, clip o tableta",General,54.538533025483545
2023,"Terminal punto de venta, clip o tableta",Micro,54.1687101520353
2023,"Terminal punto de venta, clip o tableta",Pequeña,60.68678920291423
2023,"Terminal punto de venta, clip o tableta",Mediana,58.24295010845989
2023,Laptop,General,41.90807038388232
2023,Laptop,Micro,40.52583862194016
2023,Laptop,Pequeña,62.103764244472906
2023,Laptop,Mediana,73.57065803667746
2023,Teléfonos móviles análogos,General,34.294196631323445
2023,Teléfonos móviles análogos,Micro,33.82187147688839
2023,Teléfonos móviles análogos,Pequeña,44.66946011981803
2023,Teléfonos móviles análogos,Mediana,46.7455621301775
2023,Servidores de almacenamiento,General,13.945978192122563
2023,Servidores de almacenamiento,Micro,12.51133272892113
2023,Servidores de almacenamiento,Pequeña,33.6414408976165
2023,Servidores de almacenamiento,Mediana,56.364617044228694
2024,Teléfonos móviles inteligentes,General,95.69605614486146
2024,Teléfonos móviles inteligentes,Micro,95.61038128804873
2024,Teléfonos móviles inteligentes,Pequeña,97.15145348509625
2024,Teléfonos móviles inteligentes,Mediana,93.65079365079364
2024,Computadoras de escritorio,General,51.25487311892504
2024,Computadoras de escritorio,Micro,49.66498193497845
2024,Computadoras de escritorio,Pequeña,74.2999396023033
2024,Computadoras de escritorio,Mediana,87.48274275195581
2024,"Terminal punto de venta, clip o tableta",General,47.0563345910068
2024,"Terminal punto de venta, clip o tableta",Micro,46.769406570963866
2024,"Terminal punto de venta, clip o tableta",Pequeña,50.113135304216826
2024,"Terminal punto de venta, clip o tableta",Mediana,61.76606564956077
2024,Laptop,General,38.16967003323818
2024,Laptop,Micro,36.743369326427874
2024,Laptop,Pequeña,60.293961553854395
2024,Laptop,Mediana,59.08881730326736
2024,Teléfonos móviles análogos,General,31.17832199871039
2024,Teléfonos móviles análogos,Micro,30.086510733739193
2024,Teléfonos móviles análogos,Pequeña,45.56917689085758
2024,Teléfonos móviles análogos,Mediana,41.414141414141405
2024,Servidores de almacenamiento,General,17.756181033488865
2024,Servidores de almacenamiento,Micro,16.512016508102306
2024,Servidores de almacenamiento,Pequeña,36.042974005767626
2024,Servidores de almacenamiento,Mediana,44.08651633686147
