periodo,anio,trimestre,telecomunicaciones_personas,radiodifusion_personas,total_personas,telecomunicaciones_pct,radiodifusion_pct,filas_sdem,filas_coe1,filas_cruzadas,personas_ocupadas_muestra
2013-T2,2013,2,204960,63416,268376,76.370465,23.629535,393107,304817,304817,166184
2013-T4,2013,4,193923,52954,246877,78.550452,21.449548,400354,309734,309722,170430
2014-T2,2014,2,163192,60914,224106,72.819112,27.180888,406088,313830,313830,169365
2014-T4,2014,4,160206,55944,216150,74.117974,25.882026,404640,314099,314099,170216
2015-T2,2015,2,176440,44904,221344,79.713026,20.286974,403865,313877,313877,170827
2015-T4,2015,4,201195,53127,254322,79.11034,20.88966,398943,310373,310373,171017
2016-T2,2016,2,205748,54437,260185,79.077579,20.922421,397156,309697,309697,169892
2016-T4,2016,4,211127,57454,268581,78.608316,21.391684,391418,306110,306110,168345
2017-T2,2017,2,198161,53629,251790,78.700902,21.299098,398017,312033,312033,171011
2017-T4,2017,4,199975,42260,242235,82.554131,17.445869,391620,307759,307759,169396
2018-T2,2018,2,222126,45088,267214,83.126633,16.873367,392257,309615,309615,171301
2018-T4,2018,4,210781,40312,251093,83.945391,16.054609,390612,309051,309051,171038
2019-T2,2019,2,203687,40434,244121,83.436902,16.563098,407431,323549,323549,179612
2019-T4,2019,4,207977,55505,263482,78.934045,21.065955,402536,321253,321253,179113
2020-T1,2020,1,202796,50173,252969,80.166344,19.833656,417783,333097,333097,184064
2020-T4,2020,4,242490,57811,300301,80.748982,19.251018,356790,287822,287822,152033
2021-T2,2021,2,239165,46274,285439,83.78848,16.21152,381319,307472,307472,167677
2021-T4,2021,4,276490,46558,323048,85.5879,14.4121,434826,351077,351077,193202
2022-T2,2022,2,251887,49143,301030,83.675049,16.324951,405959,329115,329115,182163
2022-T4,2022,4,246205,44753,290958,84.618742,15.381258,396629,322870,322870,180687
2023-T2,2023,2,252135,41795,293930,85.780628,14.219372,431149,351149,351149,196713
2023-T4,2023,4,267966,48646,316612,84.635453,15.364547,419983,343663,343663,193692
2024-T2,2024,2,247172,54694,301866,81.881365,18.118635,427123,350404,350404,196600
2024-T4,2024,4,283157,31637,314794,89.949936,10.050064,422408,345680,345680,192934
2025-T2,2025,2,255092,36554,291646,87.466312,12.533688,423744,346404,346404,191843
2025-T4,2025,4,220083,38066,258149,85.254252,14.745748,419038,344166,344166,191265
2026-T2,2026,2,242348,36721,279069,86.841605,13.158395,417128,344709,344709,190325
