ANIO,América Móvil,Grupo Televisa,Megacable-MCM,Grupo Salinas,Axtel,Telefónica,Maxcom,Otros
2013,71.39,14.19,6.89,0.54,3.99,0.0,1.19,1.81
2014,65.36,18.810000000000002,9.37,1.17,3.87,0.0,1.29,0.13
2015,60.27,20.94,12.55,1.97,3.0,0.0,1.11,0.15000000000000002
2016,57.96,20.8,14.0,3.67,2.67,0.03,0.78,0.09
2017,54.51,22.2,15.45,4.92,2.39,0.03,0.4,0.09
2018,52.41,23.01,16.04,6.52,0.78,0.04,0.19,1.01
2019,50.09,24.26,16.02,8.1,0.23,0.03,0.14,1.13
2020,44.47,26.53,15.61,11.33,0.17,0.11,0.07,1.69
2021,40.38,25.57,14.55,14.43,0.2,0.06,0.0,4.77
2022,37.82,24.93,15.64,16.76,0.17,0.03,0.0,4.52
2023,38.95,22.93,17.29,17.73,0.17,0.02,0.0,2.81
2024,38.65,20.58,18.33,18.32,0.15,0.0,0.0,3.8600000000000003
