anio,L_PREPAGO_E,L_POSPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,L_NO_ESPECIFICADO_E,L_TOTAL_E
1990,0.0,0.0,0.0,0.0,0.0639,0.0639
1991,0.0,0.0,0.0,0.0,0.1609,0.1609
1992,0.0,0.0,0.0,0.0,0.3126,0.3126
1993,0.0,0.0,0.0,0.0,0.431662,0.431662
1994,0.0,0.0,0.0,0.0,0.5718,0.5718
1995,0.0,0.0,0.0,0.0,0.688513,0.688513
1996,0.423365,0.598535,0.0,0.0,0.0,1.0219
1997,0.981872,0.758942,0.0,0.0,0.0,1.740814
1998,2.28211,1.067365,0.0,0.0,0.0,3.349475
1999,6.327238,1.404397,0.0,0.0,0.0,7.731635
2000,12.449635,1.628245,0.0,0.0,0.0,14.07788
2001,19.97402,1.783539,0.0,0.0,0.0,21.757559
2002,23.921813,2.006453,0.0,0.0,0.0,25.928266
2003,28.069647,2.028053,0.0,0.0,0.0,30.0977
2004,35.942592,2.508543,0.0,0.0,0.0,38.451135
2005,43.860561,3.268185,0.0,0.0,0.0,47.128746
2006,51.091577,4.303884,0.0,0.0,0.0,55.395461
2007,61.360877,5.198585,0.0,0.0,0.0,66.559462
2008,69.118299,6.250208,0.0,0.0,0.0,75.368507
2009,72.997624,10.221462,0.0,0.0,0.0,83.219086
2010,78.287518,12.180456,0.0,0.0,0.0,90.467974
2011,80.488243,14.09501,0.0,0.0,0.0,94.583253
2012,85.743048,15.61751,0.0,0.0,0.0,101.360558
2013,90.399443,16.348578,0.0,0.0,0.0,106.748021
2014,89.075691,15.872648,0.0,0.0,0.0,104.948339
2015,90.647027,17.041255,0.0,0.0,0.0,107.688282
2016,93.933824,17.794234,0.0,0.0,0.000865,111.728923
2017,94.81312,0.0,1.495901,17.992648,0.023459,114.325128
2018,100.076364,0.0,4.183064,15.890774,0.01512,120.165322
2019,101.837846,0.0,4.257986,15.92459,0.014393,122.034815
2020,102.807271,0.0,4.477088,15.58456,0.029473,122.898392
2021,105.374557,0.0,4.97073,15.746873,0.4128,126.50496
2022,114.356657,0.0,5.60739,15.73632,0.270223,135.97059
2023,122.604159,0.0,5.952689,16.21818,0.190237,144.965265
2024,128.904653,0.0,6.342587,16.815483,0.414025,152.476748
