figura,fuente_source_id,fuente_propietario,archivo_descarga_zip,archivo_real_tabla,portal_origen
figura_a_1.py,inegi_pibt_2026_q2,INEGI,PIBT_2.xlsx,PIBT_2.xlsx,https://www.inegi.org.mx/programas/pib/
figura_a_2.py,inegi_enoe_2026_q2,INEGI,enoe_2026_trim2_csv.zip,SDEM*.csv / COE1*.csv (microdatos ENOE dentro del ZIP),https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos
figura_a_2.py,inegi_enoe_2024_q2_reference,INEGI,enoe_2024_trim2_csv.zip,SDEM*.csv / COE1*.csv (microdatos ENOE dentro del ZIP),https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos
figura_a_3.py,inegi_inpc_dynamic,INEGI,inpc_ipcom_hasta_2024.csv,inpc_ipcom_hasta_2024.csv,https://www.inegi.org.mx/programas/inpc/2018a/
figura_a_3.py,inegi_inpc_current_2026_07_reference,INEGI,conjunto_de_datos_inpc_indicador_mensual_csv.zip,conjunto_de_datos_inpc_indicador_mensual*.csv (dentro del ZIP),https://www.inegi.org.mx/programas/inpc/2018a/
figura_a_4.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_INVERSION_TELECOM_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_a_5.py,se_ied_general_2026_q2,Secretaría de Economía,Datos_originales_y_actualizacion__1_.xlsx,Datos_originales_y_actualizacion__1_.xlsx,https://www.gob.mx/se/acciones-y-programas/competitividad-y-normatividad-inversion-extranjera-directa
figura_a_5.py,se_ied_sector_2026_q2,Secretaría de Economía,2026_2T_Flujos_TI_AC_3.xlsx,2026_2T_Flujos_TI_AC_3.xlsx,https://www.gob.mx/se/acciones-y-programas/competitividad-y-normatividad-inversion-extranjera-directa
figura_a_6.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_INGRESOS_TELECOM_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_a_7.py,inegi_enigh_2024,INEGI,enigh_2024_ns_csv.zip,concentradohogar.csv / hogares.csv / gastoshogar.csv / gastospersona.csv (dentro del ZIP ENIGH),https://www.inegi.org.mx/programas/enigh/nc/2024/
figura_a_8.py,inegi_enigh_2024,INEGI,enigh_2024_ns_csv.zip,concentradohogar.csv / hogares.csv / gastoshogar.csv / gastospersona.csv (dentro del ZIP ENIGH),https://www.inegi.org.mx/programas/enigh/nc/2024/
figura_a_9.py,inegi_enigh_2024,INEGI,enigh_2024_ns_csv.zip,concentradohogar.csv / hogares.csv / gastoshogar.csv / gastospersona.csv (dentro del ZIP ENIGH),https://www.inegi.org.mx/programas/enigh/nc/2024/
figura_a_10.py,inegi_enigh_2024,INEGI,enigh_2024_ns_csv.zip,concentradohogar.csv / hogares.csv / gastoshogar.csv / gastospersona.csv (dentro del ZIP ENIGH),https://www.inegi.org.mx/programas/enigh/nc/2024/
figura_b_1.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_b_2.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_b_3.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_b_4.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_LINEAS_HIST_TELFIJA_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_5.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_PENETRACION_H_TELFIJA_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_6.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_PENETRACIONES_TELFIJA_ITE_VA.csv / TD_PENETRACION_H_TELFIJA_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_6.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_b_7.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_PENETRACIONES_TELFIJA_ITE_VA.csv / TD_PENETRACION_H_TELFIJA_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_7.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_b_8.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_TRAF_HIST_TELFIJA_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_9.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_MARKET_SHARE_TELFIJA_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_10.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_IHH_TELFIJA_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_11.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_INTER_HIS_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_12.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_PENETRACION_H_BAF_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_13.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_BAF_XT_XC_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_13.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_b_13.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_b_14.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_BAF_XT_XC_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_14.py,inegi_denue_2023_state_counts,INEGI,denue_2023.csv,denue_2023.csv,https://www.inegi.org.mx/app/mapa/denue/default.aspx
figura_b_14.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_b_15.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_BAFXV_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_16.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_BAF_XT_XC_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_17.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_MARKET_SHARE_BAF_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_18.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_IHH_BAF_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_19.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_TVRES_HIS_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_20.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_PENETRACION_H_TVRES_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_21.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_TVRES_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_21.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_b_21.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_b_22.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_TVRES_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_22.py,inegi_denue_2026_05,INEGI,denue_00_*_csv.zip (colección por actividad),denue_00_*_csv.zip (archivos CSV internos por entidad),https://www.inegi.org.mx/app/descarga/?ti=6
figura_b_22.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_b_23.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_ACC_TVRES_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_24.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_MARKET_SHARE_TVRES_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_b_25.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_IHH_TVRES_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_1.py,crt_bit_dist_espectro_actual,CRT/IFT,TD_DIST_ESPECTRO_VA.csv,TD_DIST_ESPECTRO_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_2.py,crt_bit_espectro_banda_actual,CRT/IFT,TD_ESPECTRO_BANDA_VA.csv,TD_ESPECTRO_BANDA_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_2.py,crt_bit_dist_espectro_actual,CRT/IFT,TD_DIST_ESPECTRO_VA.csv,TD_DIST_ESPECTRO_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_3.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_c_4.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_c_5.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_LINEAS_HIST_TELMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_6.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_TELEDENSIDAD_H_TMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_7.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_TELEDENSIDAD_TELMOVIL_ITE_VA.csv / TD_TELEDENSIDAD_H_TMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_7.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_c_8.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_TRAF_HIST_TELMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_9.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_MARKET_SHARE_TELMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_10.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_IHH_TELMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_11.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_LINEAS_HIST_INTMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_12.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_TELEDENSIDAD_H_IMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_13.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_TELEDENSIDAD_INTMOVIL_ITE_VA.csv / TD_TELEDENSIDAD_H_IMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_13.py,mexico_geojson_legacy,angelnmara/geojson,mexicoHigh.json,mexicoHigh.json,https://github.com/angelnmara/geojson
figura_c_14.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_TRAF_INTMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_15.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_MARKET_SHARE_INTMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_c_16.py,crt_bit_todo_2025_q2,CRT/IFT,CRT_BIT_TODO.zip,TD_IHH_INTMOVIL_ITE_VA.csv,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml
figura_d_1.py,inegi_endutih_2023_tabulado_hnal110,INEGI,27_2023_hnal110.xlsx,27_2023_hnal110.xlsx,https://www.inegi.org.mx/programas/endutih/2023/
figura_d_1.py,inegi_endutih_2023_tabulado_hnal130,INEGI,30_2023_hnal130.xlsx,30_2023_hnal130.xlsx,https://www.inegi.org.mx/programas/endutih/2023/
figura_d_1.py,inegi_endutih_2023_reference,INEGI,conjunto_de_datos_endutih_2023_csv.zip,tr_endutih_hogares_anual_2023.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2023/
figura_d_1.py,inegi_endutih_2024_reference,INEGI,conjunto_de_datos_endutih_2024_csv.zip,tr_endutih_hogares_anual_2024.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2024/
figura_d_1.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_d_2.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_d_3.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_d_4.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,tr_endutih_hogares_anual_2025.csv (dentro del ZIP ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_d_5.py,ift_ecsi_2024_base,IFT,baseconfianzadigital.csv,baseconfianzadigital.csv,https://www.ift.org.mx/node/27269
figura_d_6.py,ift_ecsi_2024_base,IFT,baseconfianzadigital.csv,baseconfianzadigital.csv,https://www.ift.org.mx/node/27269
figura_d_7.py,ift_ecsi_2024_base,IFT,baseconfianzadigital.csv,baseconfianzadigital.csv,https://www.ift.org.mx/node/27269
figura_d_8.py,ift_ecsi_2024_base,IFT,baseconfianzadigital.csv,baseconfianzadigital.csv,https://www.ift.org.mx/node/27269
figura_d_9.py,ift_ecsi_2024_base,IFT,baseconfianzadigital.csv,baseconfianzadigital.csv,https://www.ift.org.mx/node/27269
figura_d_10.py,ift_ecsi_2024_base,IFT,baseconfianzadigital.csv,baseconfianzadigital.csv,https://www.ift.org.mx/node/27269
figura_d_11.py,ift_ecsi_2024_base,IFT,baseconfianzadigital.csv,baseconfianzadigital.csv,https://www.ift.org.mx/node/27269
figura_e_1.py,ift_tercera_encuesta_usuarios_2023_base,IFT,bd3erencuesta2023.zip,*.xlsx (base principal dentro del ZIP),https://www.ift.org.mx/usuarios-y-audiencias/tercer-encuesta-2023-usuarios-de-servicios-de-telecomunicaciones
figura_e_1.py,ift_segunda_encuesta_usuarios_2025,IFT,basesdedatossegundaencuesta2025.zip,*.xlsx (base principal dentro del ZIP),https://www.ift.org.mx/usuarios-y-audiencias/segunda-encuesta-2025-usuarios-de-servicios-de-telecomunicaciones
figura_e_2.py,ift_estudio_ia_chatgpt_2023,IFT,estudiodeiaychatgpt2023_0.pdf,estudiodeiaychatgpt2023_0.pdf,https://www.ift.org.mx/usuarios-y-audiencias/estudio-cualitativo-conocimiento-y-percepcion-sobre-la-inteligencia-artificial-ia-y-chatgpt-2023
figura_e_3.py,ift_mipymes_2022_base,IFT,bd4taencuesta2022.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/usuarios-y-audiencias/cuarta-encuesta-2022-usuarios-de-servicios-de-telecomunicaciones
figura_e_3.py,ift_mipymes_2023_base,IFT,bd4taencuesta2023.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/24674
figura_e_3.py,ift_mipymes_2024_base,IFT,basededatoscuartaencuesta2024mipymes.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/26777
figura_e_4.py,ift_mipymes_2023_base,IFT,bd4taencuesta2023.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/24674
figura_e_4.py,ift_mipymes_2024_base,IFT,basededatoscuartaencuesta2024mipymes.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/26777
figura_e_5.py,ift_mipymes_2023_base,IFT,bd4taencuesta2023.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/24674
figura_e_5.py,ift_mipymes_2024_base,IFT,basededatoscuartaencuesta2024mipymes.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/26777
figura_e_6.py,ift_mipymes_2024_base,IFT,basededatoscuartaencuesta2024mipymes.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/26777
figura_e_7.py,ift_mipymes_2023_base,IFT,bd4taencuesta2023.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/24674
figura_e_7.py,ift_mipymes_2024_base,IFT,basededatoscuartaencuesta2024mipymes.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/26777
figura_e_8.py,ift_mipymes_2023_base,IFT,bd4taencuesta2023.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/24674
figura_e_8.py,ift_mipymes_2024_base,IFT,basededatoscuartaencuesta2024mipymes.zip,*.xlsx (base principal dentro del ZIP MiPymes),https://www.ift.org.mx/node/26777
figura_e_9.py,ift_mipymes_impexp_2022_base,IFT,bdmipymesimpexp2022.zip,*.xlsx (base principal dentro del ZIP),https://www.ift.org.mx/usuarios-y-audiencias/contratacion-percepcion-y-uso-del-internet-fijo-y-telefonia-fija-en-las-micro-pequenas-y-medianas
figura_f_1_1.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,usuarios2_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_f_1_1.py,inegi_endutih_2023_reference,INEGI,conjunto_de_datos_endutih_2023_csv.zip,usuarios2_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2023/
figura_f_1_2.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,usuarios_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_f_1_2.py,inegi_endutih_2023_reference,INEGI,conjunto_de_datos_endutih_2023_csv.zip,usuarios_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2023/
figura_f_1_3.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,usuarios_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_f_1_3.py,inegi_endutih_2024_reference,INEGI,conjunto_de_datos_endutih_2024_csv.zip,usuarios_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2024/
figura_f_1_3.py,inegi_endutih_2023_reference,INEGI,conjunto_de_datos_endutih_2023_csv.zip,usuarios_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2023/
figura_f_1_4.py,inegi_endutih_2025,INEGI,conjunto_de_datos_endutih_2025_csv.zip,usuarios_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2025/
figura_f_1_4.py,inegi_endutih_2023_reference,INEGI,conjunto_de_datos_endutih_2023_csv.zip,usuarios_anual (tabla interna ENDUTIH),https://www.inegi.org.mx/programas/endutih/2023/
figura_f_2.py,inegi_enoe_2026_q2,INEGI,enoe_2026_trim2_csv.zip,SDEM*.csv / COE1*.csv (microdatos ENOE dentro del ZIP),https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos
figura_f_2.py,inegi_enoe_2024_q2_reference,INEGI,enoe_2024_trim2_csv.zip,SDEM*.csv / COE1*.csv (microdatos ENOE dentro del ZIP),https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos
figura_f_3.py,inegi_mociba_2025,INEGI,mociba2025_bd_csv.zip,*.csv (microdatos MOCIBA 2025 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2025/
figura_f_3.py,inegi_mociba_2024_reference,INEGI,mociba2024_bd_csv.zip,*.csv (microdatos MOCIBA 2024 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2024/
figura_f_4.py,inegi_mociba_2025,INEGI,mociba2025_bd_csv.zip,*.csv (microdatos MOCIBA 2025 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2025/
figura_f_4.py,inegi_mociba_2024_reference,INEGI,mociba2024_bd_csv.zip,*.csv (microdatos MOCIBA 2024 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2024/
figura_f_5.py,inegi_mociba_2025,INEGI,mociba2025_bd_csv.zip,*.csv (microdatos MOCIBA 2025 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2025/
figura_f_5.py,inegi_mociba_2024_reference,INEGI,mociba2024_bd_csv.zip,*.csv (microdatos MOCIBA 2024 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2024/
figura_f_6.py,inegi_mociba_2025,INEGI,mociba2025_bd_csv.zip,*.csv (microdatos MOCIBA 2025 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2025/
figura_f_6.py,inegi_mociba_2024_reference,INEGI,mociba2024_bd_csv.zip,*.csv (microdatos MOCIBA 2024 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2024/
figura_f_7.py,inegi_mociba_2025,INEGI,mociba2025_bd_csv.zip,*.csv (microdatos MOCIBA 2025 dentro del ZIP),https://www.inegi.org.mx/programas/mociba/2025/
