anio,TRAF_TB_2G_E,TRAF_TB_3G_E,TRAF_TB_4G_E,TRAF_TB_NO_ESPECIFICADO_E,TOTAL_TB_E,pct_2g,pct_3g,pct_4g
2015,9456.763740194,181835.37052075702,78733.41589994999,0.0,270025.550160647,3.5021736774789876,67.34006112109658,29.157765201518487
2016,12273.64669935,382952.92938818,237717.4002228,0.0,632943.97631918,1.939136346746851,60.503447969471644,37.55741568238328
2017,8197.02339832,557890.574458648,645975.32669,0.0,1212062.924537648,0.676286951145447,46.02818576201068,53.295527287612806
2018,7205.79102541,685525.482510077,1399303.13613,4.225585939,2092038.635316016,0.3444387165594348,32.76829934866494,66.88705994756289
2019,7635.463086010001,922345.918925748,3035254.6989100003,204.843544931,3965440.924466679,0.19255016608365969,23.259605589756614,76.54267852491633
2020,6888.081494174,993220.517766357,4281025.93377,1487.604892529,5282622.137788886,0.13039133435080597,18.801657431854156,81.03979088615795
2021,7076.999248135,922832.415102,5343426.24892,41509.495058833,6314845.158198833,0.11206924430991992,14.613698229858372,84.61690057407665
2022,8707.348955232,868376.854065,6596746.49749,238940.077957803,7712770.778583012,0.11289521243663503,11.258948035592184,85.53017698656348
2023,9416.672597821,812838.0483977,7305041.3548,603498.509590388,8730794.585206589,0.1078558486964813,9.310012284276718,83.66983421162631
2024,7206.289228542,683451.7744379,7623382.14242,959881.844078636,9273922.050092636,0.07770487167799753,7.369608788452919,82.20235302003483
