periodo,anio,trimestre,pib_millones_pesos,telecom_millones_pesos,radio_tv_millones_pesos,pib_miles_millones_pesos,tyr_millones_pesos,tyr_miles_millones_pesos,participacion_tyr_pct
2013-T1,2013,1,21025801.061,130921.605,28991.524,21025.801061,159913.129,159.913129,0.760557
2013-T2,2013,2,21893508.352,129311.698,29779.58,21893.508352,159091.278,159.091278,0.72666
2013-T3,2013,3,21702816.349,129294.792,39889.289,21702.816349,169184.081,169.184081,0.779549
2013-T4,2013,4,22268119.789,136351.417,53115.695,22268.119789,189467.112,189.467112,0.850845
2014-T1,2014,1,21547782.441,135053.76,30849.598,21547.782441,165903.358,165.903358,0.769932
2014-T2,2014,2,22320155.991,141163.984,29673.03,22320.155991,170837.014,170.837014,0.765393
2014-T3,2014,3,22258188.342,136785.647,37204.781,22258.188342,173990.428,173.990428,0.781692
2014-T4,2014,4,22939645.045,147515.07,52926.079,22939.645045,200441.149,200.441149,0.873776
2015-T1,2015,1,22169554.364,165849.478,34049.984,22169.554364,199899.462,199.899462,0.901685
2015-T2,2015,2,22843017.522,174296.746,36449.242,22843.017522,210745.988,210.745988,0.922584
2015-T3,2015,3,23011745.8,184926.469,39789.347,23011.7458,224715.816,224.715816,0.976527
2015-T4,2015,4,23448299.342,204403.956,55498.935,23448.299342,259902.891,259.902891,1.108408
2016-T1,2016,1,22537031.335,213329.002,33717.634,22537.031335,247046.636,247.046636,1.096181
2016-T2,2016,2,23359955.77,220606.367,32882.887,23359.95577,253489.254,253.489254,1.085144
2016-T3,2016,3,23214541.358,225652.925,36049.971,23214.541358,261702.896,261.702896,1.127323
2016-T4,2016,4,23982434.514,237862.518,50635.776,23982.434514,288498.294,288.498294,1.202957
2017-T1,2017,1,23306068.739,244603.6,33454.422,23306.068739,278058.022,278.058022,1.193071
2017-T2,2017,2,23710325.711,249142.699,35839.487,23710.325711,284982.186,284.982186,1.201933
2017-T3,2017,3,23491266.413,249568.161,39802.645,23491.266413,289370.806,289.370806,1.231823
2017-T4,2017,4,24328768.39,260055.265,51658.67,24328.76839,311713.935,311.713935,1.281257
2018-T1,2018,1,23568391.999,252941.2,33423.525,23568.391999,286364.725,286.364725,1.215037
2018-T2,2018,2,24395736.063,267697.81,34889.525,24395.736063,302587.335,302.587335,1.240329
2018-T3,2018,3,24137287.71,260398.423,44257.515,24137.28771,304655.938,304.655938,1.26218
2018-T4,2018,4,24605265.729,284938.188,53900.503,24605.265729,338838.691,338.838691,1.377098
2019-T1,2019,1,23790581.652,265222.553,31986.821,23790.581652,297209.374,297.209374,1.249273
2019-T2,2019,2,24154792.378,262829.048,31331.637,24154.792378,294160.685,294.160685,1.217815
2019-T3,2019,3,24024906.35,285183.387,37105.485,24024.90635,322288.872,322.288872,1.341478
2019-T4,2019,4,24356643.155,302351.009,47985.076,24356.643155,350336.085,350.336085,1.438359
2020-T1,2020,1,23449993.643,280463.54,29221.919,23449.993643,309685.459,309.685459,1.320621
2020-T2,2020,2,19252739.685,272774.621,19074.481,19252.739685,291849.102,291.849102,1.515883
2020-T3,2020,3,22072209.167,275973.623,30989.314,22072.209167,306962.937,306.962937,1.390721
2020-T4,2020,4,23504796.547,303739.272,43294.422,23504.796547,347033.694,347.033694,1.476438
2021-T1,2021,1,22841359.685,293725.751,34133.763,22841.359685,327859.514,327.859514,1.435377
2021-T2,2021,2,23623455.056,296355.473,30652.945,23623.455056,327008.418,327.008418,1.384253
2021-T3,2021,3,23204796.817,283373.209,41080.808,23204.796817,324454.017,324.454017,1.39822
2021-T4,2021,4,23949712.898,303870.883,50055.837,23949.712898,353926.72,353.92672,1.477791
2022-T1,2022,1,23440574.466,320673.55,44880.103,23440.574466,365553.653,365.553653,1.559491
2022-T2,2022,2,24310024.252,309200.623,54737.961,24310.024252,363938.584,363.938584,1.497072
2022-T3,2022,3,24289379.479,292744.624,53319.075,24289.379479,346063.699,346.063699,1.424753
2022-T4,2022,4,25052395.779,330623.366,77806.537,25052.395779,408429.903,408.429903,1.630303
2023-T1,2023,1,24330982.536,336999.254,43973.9,24330.982536,380973.154,380.973154,1.565794
2023-T2,2023,2,25108268.25,341365.214,67630.944,25108.26825,408996.158,408.996158,1.62893
2023-T3,2023,3,25094793.141,335756.826,55856.721,25094.793141,391613.547,391.613547,1.560537
2023-T4,2023,4,25590082.607,358820.258,57643.063,25590.082607,416463.321,416.463321,1.62744
2024-T1,2024,1,24761655.524,362723.063,51944.71,24761.655524,414667.773,414.667773,1.674637
2024-T2,2024,2,25655479.047,355516.368,58797.789,25655.479047,414314.157,414.314157,1.614915
2024-T3,2024,3,25475446.445,345704.04,59170.841,25475.446445,404874.881,404.874881,1.589275
2024-T4,2024,4,25693292.983,361569.013,66153.644,25693.292983,427722.657,427.722657,1.664725
2025-T1,2025,1,24913610.281,371260.022,49725.373,24913.610281,420985.395,420.985395,1.689781
2025-T2,2025,2,25618678.767,379794.387,56120.405,25618.678767,435914.792,435.914792,1.701551
2025-T3,2025,3,25422850.191,365538.497,53307.732,25422.850191,418846.229,418.846229,1.647519
2025-T4,2025,4,26135644.696,383877.161,54465.888,26135.644696,438343.049,438.343049,1.677185
2026-T1,2026,1,24963384.137,388719.164,37297.749,24963.384137,426016.913,426.016913,1.706567
2026-T2,2026,2,26144132.442,392043.758,48372.236,26144.132442,440415.994,440.415994,1.684569
