K_ENTIDAD,ENTIDAD,A_NO_RESIDENCIAL_E,key,UNIDADES,valor
1,Aguascalientes,38546.0,aguascalientes,61782,62.390340228545526
2,Baja California,109795.0,baja california,126887,86.52974694019088
3,Baja California Sur,30001.0,baja california sur,35948,83.4566596194503
4,Campeche,15134.0,campeche,41783,36.22047244094488
5,Coahuila de Zaragoza,59326.0,coahuila de zaragoza,114677,51.73312870061129
6,Colima,15457.0,colima,38633,40.00983615044133
7,Chiapas,43928.0,chiapas,219382,20.023520617005953
8,Chihuahua,70386.0,chihuahua,129018,54.55517834720737
9,Ciudad de México,370451.0,ciudad de mexico,475331,77.93537555934707
10,Durango,18419.0,durango,66950,27.51157580283794
11,Guanajuato,93891.0,guanajuato,272658,34.43544660343728
12,Guerrero,41078.0,guerrero,169680,24.209099481376708
13,Hidalgo,42440.0,hidalgo,139511,30.42054031581739
14,Jalisco,175570.0,jalisco,378713,46.35964437449995
15,México,236785.0,mexico,701444,33.75679312960122
16,Michoacán de Ocampo,70758.0,michoacan de ocampo,260596,27.152373789313728
17,Morelos,44457.0,morelos,111443,39.89214217133423
18,Nayarit,19316.0,nayarit,66376,29.10087983608533
19,Nuevo León,142213.0,nuevo leon,186665,76.18621594835669
20,Oaxaca,42835.0,oaxaca,251253,17.048552654097662
21,Puebla,92470.0,puebla,344346,26.853804022698103
22,Querétaro,51137.0,queretaro,95156,53.740174030013875
23,Quintana Roo,54260.0,quintana roo,66549,81.53390734646652
24,San Luis Potosí,38317.0,san luis potosi,113782,33.6758010933188
25,Sinaloa,52066.0,sinaloa,124105,41.953184803190844
26,Sonora,58394.0,sonora,118880,49.12012113055182
27,Tabasco,29411.0,tabasco,86349,34.060614483086084
28,Tamaulipas,70369.0,tamaulipas,133070,52.88119035094311
29,Tlaxcala,17728.0,tlaxcala,82801,21.41036943998261
30,Veracruz de Ignacio de la Llave,116444.0,veracruz de ignacio de la llave,326979,35.61207294658067
31,Yucatán,44508.0,yucatan,130829,34.01998027960162
32,Zacatecas,15966.0,zacatecas,69500,22.972661870503597
