K_ENTIDAD,ENTIDAD,valor
1,Aguascalientes,151
2,Baja California,160
3,Baja California Sur,101
4,Campeche,77
5,Coahuila de Zaragoza,144
6,Colima,77
7,Chiapas,35
8,Chihuahua,126
9,Ciudad de México,630
10,Durango,73
11,Guanajuato,86
12,Guerrero,35
13,Hidalgo,56
14,Jalisco,148
15,México,91
16,Michoacán de Ocampo,40
17,Morelos,75
18,Nayarit,69
19,Nuevo León,516
20,Oaxaca,28
21,Puebla,58
22,Querétaro,166
23,Quintana Roo,155
24,San Luis Potosí,93
25,Sinaloa,136
26,Sonora,116
27,Tabasco,55
28,Tamaulipas,118
29,Tlaxcala,44
30,Veracruz de Ignacio de la Llave,62
31,Yucatán,73
32,Zacatecas,50
