K_ENTIDAD,ENTIDAD,valor
1,Aguascalientes,117
2,Baja California,116
3,Baja California Sur,126
4,Campeche,108
5,Coahuila de Zaragoza,121
6,Colima,119
7,Chiapas,83
8,Chihuahua,115
9,Ciudad de México,130
10,Durango,117
11,Guanajuato,111
12,Guerrero,103
13,Hidalgo,118
14,Jalisco,122
15,México,120
16,Michoacán de Ocampo,113
17,Morelos,118
18,Nayarit,114
19,Nuevo León,120
20,Oaxaca,98
21,Puebla,105
22,Querétaro,116
23,Quintana Roo,117
24,San Luis Potosí,112
25,Sinaloa,121
26,Sonora,127
27,Tabasco,117
28,Tamaulipas,117
29,Tlaxcala,119
30,Veracruz de Ignacio de la Llave,111
31,Yucatán,110
32,Zacatecas,111
