grupo,experiencia,porcentaje
Hombres,Recibir mensajes no deseados,61.710089966578295
Hombres,Publicación de información personal sin permiso,14.450192236554305
Hombres,Uso de datos para préstamos o créditos sin permiso,11.538575415697194
Hombres,Robo de contraseñas,16.413239323220232
Mujeres,Recibir mensajes no deseados,58.25262166729731
Mujeres,Publicación de información personal sin permiso,12.730942565136116
Mujeres,Uso de datos para préstamos o créditos sin permiso,10.51306309973638
Mujeres,Robo de contraseñas,16.473679540588705
Total,Recibir mensajes no deseados,59.84396331251105
Total,Publicación de información personal sin permiso,13.526498885673572
Total,Uso de datos para préstamos o créditos sin permiso,10.986037880409961
Total,Robo de contraseñas,16.44331928608991
