periodo,CVE_ENT,NOM_ENT,personas,porcentaje
2025,15,MEXICO,2527801,13.03351247917851
2025,9,CIUDAD DE MEXICO,1866040,9.62142812137754
2025,14,JALISCO,1586709,8.18117864195989
2025,30,VERACRUZ DE IGNACIO DE LA LLAVE,1126781,5.809758847631297
2025,21,PUEBLA,1055601,5.442749965892614
2025,19,NUEVO LEON,905129,4.6669061831870335
2025,16,MICHOACAN DE OCAMPO,816656,4.2107334268781464
2025,11,GUANAJUATO,713541,3.679065530833129
2025,20,OAXACA,652711,3.365421947296122
2025,8,CHIHUAHUA,609866,3.144510237011015
2025,7,CHIAPAS,593809,3.061719261820259
2025,2,BAJA CALIFORNIA,579860,2.9897972768332837
2025,13,HIDALGO,524661,2.7051875091584647
2025,12,GUERRERO,516216,2.661644519466372
2025,22,QUERETARO,450547,2.3230507254947836
2025,28,TAMAULIPAS,433736,2.236372075439867
2025,24,SAN LUIS POTOSI,416847,2.14929125212314
2025,5,COAHUILA DE ZARAGOZA,381815,1.968663896895975
2025,27,TABASCO,379993,1.9592695419854964
2025,25,SINALOA,359311,1.852631754796406
2025,10,DURANGO,336668,1.7358829193200218
2025,26,SONORA,327095,1.686523885534065
2025,31,YUCATAN,320768,1.6539014467203441
2025,23,QUINTANA ROO,304941,1.5722963670451804
2025,32,ZACATECAS,266864,1.3759687864050587
2025,1,AGUASCALIENTES,254394,1.3116726251900914
2025,29,TLAXCALA,246544,1.2711974956361622
2025,17,MORELOS,243499,1.2554972702232052
2025,18,NAYARIT,212216,1.0942000119002038
2025,3,BAJA CALIFORNIA SUR,148062,0.7634176601291512
2025,4,CAMPECHE,127335,0.6565478499044013
2025,6,COLIMA,108610,0.5600004867327681
